TAXA_PC,Taxa,traits,current_model,clockmodel,medianRate,varianceRate
TAXA_87_PCs_2,87,2,ULNC_FBD_skyline_age_uncertainty,ULNC,0.003533219726143317,5.624322736331798e-4
TAXA_87_PCs_2,87,2,ULNC_FBD_skyline,ULNC,0.0038806566047303913,7.52553134211686e-4
TAXA_87_PCs_20,87,20,FBD_constant_rate_age_uncertainty,nCat,3.60552149325344e-6,2.3738812499039057e-4
TAXA_87_PCs_20,87,20,FBD_constant_rates,nCat,4.057398795027032e-6,2.0410827884615257e-4
TAXA_87_PCs_20,87,20,FBD_skyline_age_uncertainty,nCat,8.244130140970684e-6,5.256787281096056e-4
TAXA_87_PCs_20,87,20,FBD_skyline,nCat,9.783780888103621e-6,3.440316652285546e-4
TAXA_87_PCs_20,87,20,ULNC_FBD_constant_rate_age_uncertainty,ULNC,1.6717973809440196e-5,4.7830865092322025e-9
TAXA_87_PCs_20,87,20,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,1.0965480957145453e-4,1.843831641761804e-7
TAXA_87_PCs_20,87,20,ULNC_FBD_constant_rates,ULNC,1.6200267354638673e-5,4.57751976697321e-9
TAXA_87_PCs_20,87,20,ULNC_FBD_skyline_age_uncertainty,ULNC,4.177000533947591e-5,3.077182462447042e-8
TAXA_87_PCs_20,87,20,ULNC_FBD_skyline,ULNC,4.674119514250542e-5,3.908251071328622e-8
TAXA_87_PCs_3,87,3,FBD_constant_rate_age_uncertainty,nCat,2.2012759370815683e-4,0.005424979630866258
TAXA_87_PCs_3,87,3,FBD_constant_rate_age_uncertainty_woffset,nCat,0.009292412303991152,0.008090927644659435
TAXA_87_PCs_3,87,3,FBD_constant_rates,nCat,2.2885144413699446e-4,0.0037183689829023733
TAXA_87_PCs_3,87,3,FBD_skyline_age_uncertainty,nCat,2.7326690501605237e-4,8.232975232176387e-4
